date,exit_date,coin,entry_price,exit_price,gross_ret,net_ret
2025-10-28,2025-10-30,XLM,0.31858,0.298615,-0.062669,-0.064669
2026-01-06,2026-01-08,XLM,0.244017,0.230192,-0.056656,-0.058656
2026-01-06,2026-01-08,XRP,2.306901,2.122097,-0.080109,-0.082109
2026-01-31,2026-02-02,ADA,0.293496,0.2989,0.018413,0.016413
2026-01-31,2026-02-02,LINK,9.968609,9.806777,-0.016234,-0.018234
2026-02-05,2026-02-07,ADA,0.244885,0.272365,0.112216,0.110216
2026-02-05,2026-02-07,ETH,1821.683105,2090.549316,0.147592,0.145592
2026-02-05,2026-02-07,DOGE,0.088286,0.098277,0.113166,0.111166
2026-02-05,2026-02-07,XRP,1.213521,1.424204,0.173613,0.171613
2026-02-05,2026-02-07,BTC,62702.097656,69281.96875,0.104939,0.102939
2026-02-05,2026-02-07,XLM,0.146701,0.161877,0.103449,0.101449
2026-02-05,2026-02-07,LINK,7.907181,8.913293,0.12724,0.12524
2026-02-05,2026-02-07,AVAX,8.299232,9.227491,0.111849,0.109849
2026-04-14,2026-04-16,DOGE,0.093012,0.099196,0.066486,0.064486
